Question_Period,Question_Type,Question_Content_Type,Gender,Goal,Activity_Level,Body_Fat,Job,Answer_Result
1,1,1,0,1,2,1,1,Positive
1,2,1,0,1,2,1,1,Negative
1,3,1,0,1,2,1,1,Positive
1,2,2,0,1,2,1,1,Positive
1,4,1,0,1,2,1,1,Positive
2,1,1,0,1,2,1,1,Positive
2,1,2,0,1,2,1,1,Positive
2,2,3,0,1,2,1,1,Negative
2,3,1,0,1,2,1,1,Negative
3,1,3,0,1,2,1,1,Positive
3,2,3,0,1,2,1,1,Positive
3,3,1,0,1,2,1,1,Negative
3,2,1,0,1,2,1,1,Positive
3,4,1,0,1,2,1,1,Negative
3,2,2,0,1,2,1,1,Negative
1,1,3,0,1,1,2,1,Positive
1,2,2,0,1,1,2,1,Negative
1,2,1,0,1,1,2,1,Positive
1,3,1,0,1,1,2,1,Positive
1,4,1,0,1,1,2,1,Negative
2,1,3,0,1,1,2,1,Positive
2,2,2,0,1,1,2,1,Positive
2,3,1,0,1,1,2,1,Positive
2,3,1,0,1,1,2,1,Positive
2,4,1,0,1,1,2,1,Negative
3,1,3,0,1,1,2,1,Positive
3,2,2,0,1,1,2,1,Negative
3,2,1,0,1,1,2,1,Positive
3,3,1,0,1,1,2,1,Positive
3,4,1,0,1,1,2,1,Negative
1,1,2,0,1,3,1,1,Positive
1,2,1,0,1,3,1,1,Positive
1,2,2,0,1,3,1,1,Positive
1,3,1,0,1,3,1,1,Positive
1,4,1,0,1,3,1,1,Positive
2,1,3,0,1,3,1,1,Positive
2,2,2,0,1,3,1,1,Negative
2,3,1,0,1,3,1,1,Positive
2,3,1,0,1,3,1,1,Positive
2,4,1,0,1,3,1,1,Negative
3,1,3,0,1,3,1,1,Positive
3,2,1,0,1,3,1,1,Positive
3,2,2,0,1,3,1,1,Negative
3,3,1,0,1,3,1,1,Positive
3,4,1,0,1,3,1,1,Negative
1,1,3,0,2,4,0,1,Positive
1,2,2,0,2,4,0,1,Positive
1,2,1,0,2,4,0,1,Negative
1,3,1,0,2,4,0,1,Positive
1,4,1,0,2,4,0,1,Negative
2,1,3,0,2,4,0,1,Positive
2,2,1,0,2,4,0,1,Positive
2,3,1,0,2,4,0,1,Positive
2,3,1,0,2,4,0,1,Positive
2,4,1,0,2,4,0,1,Negative
3,1,2,0,2,4,0,1,Positive
3,2,1,0,2,4,0,1,Positive
3,2,2,0,2,4,0,1,Negative
3,3,1,0,2,4,0,1,Positive
3,4,1,0,2,4,0,1,Negative
1,1,1,0,2,2,1,1,Positive
1,2,2,0,2,2,1,1,Positive
1,2,1,0,2,2,1,1,Positive
1,3,1,0,2,2,1,1,Positive
1,4,1,0,2,2,1,1,Positive
2,1,3,0,2,2,1,1,Positive
2,2,2,0,2,2,1,1,Positive
2,3,1,0,2,2,1,1,Positive
2,3,1,0,2,2,1,1,Positive
2,4,1,0,2,2,1,1,Positive
3,1,3,0,2,2,1,1,Positive
3,2,2,0,2,2,1,1,Positive
3,2,1,0,2,2,1,1,Positive
3,3,1,0,2,2,1,1,Positive
3,4,1,0,2,2,1,1,Negative
1,1,1,0,3,4,1,1,Positive
1,2,2,0,3,4,1,1,Negative
1,2,1,0,3,4,1,1,Positive
1,3,1,0,3,4,1,1,Positive
1,4,1,0,3,4,1,1,Positive
2,1,3,0,3,4,1,1,Positive
2,2,2,0,3,4,1,1,Negative
2,3,1,0,3,4,1,1,Positive
2,3,1,0,3,4,1,1,Positive
2,4,1,0,3,4,1,1,Positive
3,1,2,0,3,4,1,1,Positive
3,2,1,0,3,4,1,1,Negative
3,2,2,0,3,4,1,1,Positive
3,3,1,0,3,4,1,1,Positive
3,4,1,0,3,4,1,1,Positive
1,1,1,0,1,2,2,1,Negative
1,2,1,0,1,2,2,1,Negative
1,2,2,0,1,2,2,1,Negative
1,3,1,0,1,2,2,1,Positive
1,4,1,0,1,2,2,1,Positive
2,1,2,0,1,2,2,1,Negative
2,2,1,0,1,2,2,1,Negative
2,3,1,0,1,2,2,1,Positive
2,3,1,0,1,2,2,1,Positive
2,4,1,0,1,2,2,1,Positive
3,1,3,0,1,2,2,1,Positive
3,2,1,0,1,2,2,1,Negative
3,2,1,0,1,2,2,1,Negative
3,3,1,0,1,2,2,1,Positive
3,4,1,0,1,2,2,1,Positive
1,1,2,0,1,1,0,1,Positive
1,2,1,0,1,1,0,1,Negative
1,2,2,0,1,1,0,1,Negative
1,3,1,0,1,1,0,1,Negative
1,4,1,0,1,1,0,1,Negative
2,1,2,0,1,1,0,1,Positive
2,2,1,0,1,1,0,1,Negative
2,3,1,0,1,1,0,1,Negative
2,3,1,0,1,1,0,1,Negative
2,4,1,0,1,1,0,1,Negative
3,1,3,0,1,1,0,1,Positive
3,2,1,0,1,1,0,1,Negative
3,2,2,0,1,1,0,1,Negative
3,3,1,0,1,1,0,1,Negative
3,4,1,0,1,1,0,1,Negative
1,1,2,0,1,2,0,1,Positive
1,2,1,0,1,2,0,1,Negative
1,2,2,0,1,2,0,1,Negative
1,3,1,0,1,2,0,1,Negative
1,4,1,0,1,2,0,1,Negative
2,1,2,0,1,2,0,1,Positive
2,2,1,0,1,2,0,1,Negative
2,3,1,0,1,2,0,1,Negative
2,3,1,0,1,2,0,1,Negative
2,4,1,0,1,2,0,1,Negative
3,1,3,0,1,2,0,1,Positive
3,2,1,0,1,2,0,1,Negative
3,2,2,0,1,2,0,1,Negative
3,3,1,0,1,2,0,1,Negative
3,4,1,0,1,2,0,1,Negative
1,1,2,0,1,1,1,1,Negative
1,2,1,0,1,1,1,1,Positive
1,2,2,0,1,1,1,1,Negative
1,3,1,0,1,1,1,1,Positive
1,4,1,0,1,1,1,1,Positive
2,1,2,0,1,1,1,1,Negative
2,2,1,0,1,1,1,1,Positive
2,3,1,0,1,1,1,1,Positive
2,3,1,0,1,1,1,1,Positive
2,4,1,0,1,1,1,1,Positive
3,1,3,0,1,1,1,1,Negative
3,2,1,0,1,1,1,1,Positive
3,2,2,0,1,1,1,1,Negative
3,3,1,0,1,1,1,1,Positive
3,4,1,0,1,1,1,1,Positive
1,1,1,1,1,2,2,1,Positive
1,2,2,1,1,2,2,1,Positive
1,3,1,1,1,2,2,1,Positive
2,1,1,1,1,2,2,1,Positive
2,4,2,1,1,2,2,1,Positive
2,4,1,1,1,2,2,1,Positive
2,2,1,1,1,2,2,1,Positive
3,1,1,1,1,2,2,1,Positive
3,4,2,1,1,2,2,1,Positive
3,4,3,1,1,2,2,1,Positive
3,2,1,1,1,2,2,1,Positive
3,2,2,1,1,2,2,1,Positive
3,2,3,1,1,2,2,1,Positive
3,3,1,1,1,2,2,1,Positive
3,4,2,1,1,2,2,1,Positive
3,3,3,1,1,2,2,1,Positive
1,1,1,1,1,4,1,1,Positive
1,1,2,1,1,4,1,1,Positive
1,2,1,1,1,4,1,1,Positive
1,3,1,1,1,4,1,1,Positive
2,1,2,1,1,4,1,1,Positive
2,2,1,1,1,4,1,1,Positive
2,2,2,1,1,4,1,1,Positive
2,3,1,1,1,4,1,1,Positive
2,4,1,1,1,4,1,1,Positive
3,1,3,1,1,4,1,1,Positive
3,2,3,1,1,4,1,1,Positive
3,2,1,1,1,4,1,1,Positive
3,3,2,1,1,4,1,1,Positive
3,3,1,1,1,4,1,1,Positive
3,4,1,1,1,4,1,1,Positive
1,1,1,1,1,3,1,1,Negative
1,1,2,1,1,3,1,1,Negative
1,2,1,1,1,3,1,1,Negative
1,3,1,1,1,3,1,1,Negative
2,1,2,1,1,3,1,1,Positive
2,2,1,1,1,3,1,1,Positive
2,2,2,1,1,3,1,1,Positive
2,3,1,1,1,3,1,1,Positive
2,4,1,1,1,3,1,1,Negative
3,1,3,1,1,3,1,1,Positive
3,2,3,1,1,3,1,1,Positive
3,2,1,1,1,3,1,1,Positive
3,3,2,1,1,3,1,1,Positive
3,3,1,1,1,3,1,1,Positive
3,4,1,1,1,3,1,1,Negative
1,1,1,1,2,2,1,1,Negative
1,1,2,1,2,2,1,1,Negative
1,2,1,1,2,2,1,1,Positive
1,3,1,1,2,2,1,1,Positive
2,1,2,1,2,2,1,1,Positive
2,2,1,1,2,2,1,1,Positive
2,2,2,1,2,2,1,1,Positive
2,3,1,1,2,2,1,1,Positive
2,4,1,1,2,2,1,1,Negative
3,1,3,1,2,2,1,1,Positive
3,2,3,1,2,2,1,1,Positive
3,2,1,1,2,2,1,1,Positive
3,3,2,1,2,2,1,1,Positive
3,3,1,1,2,2,1,1,Positive
3,4,1,1,2,2,1,1,Positive
1,1,1,1,2,3,0,1,Positive
1,2,2,1,2,3,0,1,Positive
1,3,1,1,2,3,0,1,Negative
2,1,1,1,2,3,0,1,Positive
2,4,2,1,2,3,0,1,Positive
2,4,1,1,2,3,0,1,Negative
2,2,1,1,2,3,0,1,Positive
3,1,1,1,2,3,0,1,Positive
3,4,2,1,2,3,0,1,Positive
3,4,3,1,2,3,0,1,Positive
3,2,1,1,2,3,0,1,Positive
3,2,2,1,2,3,0,1,Positive
3,2,3,1,2,3,0,1,Positive
3,3,1,1,2,3,0,1,Negative
3,4,2,1,2,3,0,1,Positive
3,3,3,1,2,3,0,1,Negative
1,1,1,1,2,4,1,1,Negative
1,1,2,1,2,4,1,1,Negative
1,2,1,1,2,4,1,1,Negative
1,3,1,1,2,4,1,1,Negative
2,1,2,1,2,4,1,1,Positive
2,2,1,1,2,4,1,1,Positive
2,2,2,1,2,4,1,1,Positive
2,3,1,1,2,4,1,1,Positive
2,4,1,1,2,4,1,1,Positive
3,1,3,1,2,4,1,1,Positive
3,2,3,1,2,4,1,1,Positive
3,2,1,1,2,4,1,1,Positive
3,3,2,1,2,4,1,1,Negative
3,3,1,1,2,4,1,1,Positive
3,4,1,1,2,4,1,1,Negative
1,1,1,1,3,5,0,1,Negative
1,1,2,1,3,5,0,1,Negative
1,2,1,1,3,5,0,1,Negative
1,3,1,1,3,5,0,1,Negative
2,1,2,1,3,5,0,1,Positive
2,2,1,1,3,5,0,1,Positive
2,2,2,1,3,5,0,1,Negative
2,3,1,1,3,5,0,1,Positive
2,4,1,1,3,5,0,1,Positive
3,1,3,1,3,5,0,1,Positive
3,2,3,1,3,5,0,1,Positive
3,2,1,1,3,5,0,1,Positive
3,3,2,1,3,5,0,1,Negative
3,3,1,1,3,5,0,1,Positive
3,4,1,1,3,5,0,1,Positive
1,1,1,1,3,5,1,1,Negative
1,1,2,1,3,5,1,1,Negative
1,2,1,1,3,5,1,1,Negative
1,3,1,1,3,5,1,1,Negative
2,1,2,1,3,5,1,1,Positive
2,2,1,1,3,5,1,1,Positive
2,2,2,1,3,5,1,1,Negative
2,3,1,1,3,5,1,1,Positive
2,4,1,1,3,5,1,1,Positive
3,1,3,1,3,5,1,1,Positive
3,2,3,1,3,5,1,1,Positive
3,2,1,1,3,5,1,1,Positive
3,3,2,1,3,5,1,1,Negative
3,3,1,1,3,5,1,1,Positive
3,4,1,1,3,5,1,1,Positive
1,1,1,1,3,4,1,1,Positive
1,1,2,1,3,4,1,1,Positive
1,2,1,1,3,4,1,1,Positive
1,3,1,1,3,4,1,1,Positive
2,1,2,1,3,4,1,1,Positive
2,2,1,1,3,4,1,1,Positive
2,2,2,1,3,4,1,1,Positive
2,3,1,1,3,4,1,1,Positive
2,4,1,1,3,4,1,1,Positive
3,1,3,1,3,4,1,1,Positive
3,2,3,1,3,4,1,1,Positive
3,2,1,1,3,4,1,1,Positive
3,3,2,1,3,4,1,1,Positive
3,3,1,1,3,4,1,1,Positive
3,4,1,1,3,4,1,1,Positive
1,1,1,1,3,4,0,1,Positive
1,1,2,1,3,4,0,1,Positive
1,2,1,1,3,4,0,1,Positive
1,3,1,1,3,4,0,1,Negative
2,1,2,1,3,4,0,1,Positive
2,2,1,1,3,4,0,1,Positive
2,2,2,1,3,4,0,1,Positive
2,3,1,1,3,4,0,1,Negative
2,4,1,1,3,4,0,1,Negative
3,1,3,1,3,4,0,1,Positive
3,2,3,1,3,4,0,1,Positive
3,2,1,1,3,4,0,1,Positive
3,3,2,1,3,4,0,1,Positive
3,3,1,1,3,4,0,1,Positive
3,4,1,1,3,4,0,1,Negative
1,1,1,1,3,3,1,1,Negative
1,1,2,1,3,3,1,1,Negative
1,2,1,1,3,3,1,1,Negative
1,3,1,1,3,3,1,1,Negative
2,1,2,1,3,3,1,1,Negative
2,2,1,1,3,3,1,1,Positive
2,2,2,1,3,3,1,1,Negative
2,3,1,1,3,3,1,1,Positive
2,4,1,1,3,3,1,1,Positive
3,1,3,1,3,3,1,1,Negative
3,2,3,1,3,3,1,1,Positive
3,2,1,1,3,3,1,1,Positive
3,3,2,1,3,3,1,1,Negative
3,3,1,1,3,3,1,1,Positive
3,4,1,1,3,3,1,1,Positive
1,1,1,1,3,3,2,1,Positive
1,1,2,1,3,3,2,1,Positive
1,2,1,1,3,3,2,1,Negative
1,3,1,1,3,3,2,1,Negative
2,1,2,1,3,3,2,1,Positive
2,2,1,1,3,3,2,1,Positive
2,2,2,1,3,3,2,1,Positive
2,3,1,1,3,3,2,1,Positive
2,4,1,1,3,3,2,1,Positive
3,1,3,1,3,3,2,1,Positive
3,2,3,1,3,3,2,1,Positive
3,2,1,1,3,3,2,1,Positive
3,3,2,1,3,3,2,1,Positive
3,3,1,1,3,3,2,1,Positive
3,4,1,1,3,3,2,1,Negative
